district,year,plan,winner,winner_plan
42,2006,CA4,R,R
43,2006,CA4,D,D
44,2006,CA4,R,R
45,2006,CA4,R,R
46,2006,CA4,R,R
47,2006,CA4,D,D
48,2006,CA4,R,R
49,2006,CA4,R,R
50,2006,CA4,R,R
51,2006,CA4,D,D
52,2006,CA4,R,R
53,2006,CA4,D,D
1,2008,CA4,D,D
2,2008,CA4,R,R
3,2008,CA4,R,R
4,2008,CA4,R,R
5,2008,CA4,D,D
6,2008,CA4,D,D
7,2008,CA4,D,D
8,2008,CA4,D,D
9,2008,CA4,D,D
10,2008,CA4,D,D
11,2008,CA4,D,X
12,2008,CA4,D,D
13,2008,CA4,D,D
14,2008,CA4,D,D
15,2008,CA4,D,D
16,2008,CA4,D,D
17,2008,CA4,D,D
18,2008,CA4,D,D
19,2008,CA4,R,R
20,2008,CA4,D,D
21,2008,CA4,R,R
22,2008,CA4,R,R
23,2008,CA4,D,D
24,2008,CA4,R,R
25,2008,CA4,R,R
26,2008,CA4,R,R
27,2008,CA4,D,D
28,2008,CA4,D,D
29,2008,CA4,D,D
30,2008,CA4,D,D
31,2008,CA4,D,D
32,2008,CA4,D,D
33,2008,CA4,D,X
34,2008,CA4,D,D
35,2008,CA4,D,D
